rank,id,label,provider,category,priority,liveStatus,httpStatus,configuredFeedUrls,recommendedEnvKeys,onboardingStatus,score,nextAction,guardrail
1,lpoint-benefits,L.POINT 공식 혜택,public_coupon,카드/멤버십 | 무료혜택 | 마트/편의점,high,reachable,200,0,PUBLIC_COUPON_FEED_URLS | OFFICIAL_EVENT_FEED_URLS,connect_official_feed,90,PUBLIC_COUPON_FEED_URLS 또는 OFFICIAL_EVENT_FEED_URLS에 공식 JSON/RSS 또는 승인된 파트너 feed URL 연결,검색 결과·커뮤니티 원문·메인 페이지를 finalUrl로 쓰지 않기
2,culture-day,문화가 있는 날 공식 혜택,public_coupon,영화/문화 | 정부/공공혜택 | 무료혜택,high,reachable,200,0,PUBLIC_COUPON_FEED_URLS | DEAL_NEWS_FEED_URLS,connect_official_feed,86,PUBLIC_COUPON_FEED_URLS 또는 DEAL_NEWS_FEED_URLS에 공식 JSON/RSS 또는 승인된 파트너 feed URL 연결,검색 결과·커뮤니티 원문·메인 페이지를 finalUrl로 쓰지 않기
3,gs25-event-goods,GS25 행사상품과 카드 할인,official_event,마트/편의점 | 무료혜택,high,reachable,200,0,OFFICIAL_EVENT_FEED_URLS | DEAL_EVENT_FEED_URLS,connect_official_feed,86,OFFICIAL_EVENT_FEED_URLS 또는 DEAL_EVENT_FEED_URLS에 공식 JSON/RSS 또는 승인된 파트너 feed URL 연결,검색 결과·커뮤니티 원문·메인 페이지를 finalUrl로 쓰지 않기
4,cu-plus-event,CU 편의점 1+1·2+1 행사,official_event,마트/편의점,high,reachable,200,0,OFFICIAL_EVENT_FEED_URLS | DEAL_EVENT_FEED_URLS,connect_official_feed,82,OFFICIAL_EVENT_FEED_URLS 또는 DEAL_EVENT_FEED_URLS에 공식 JSON/RSS 또는 승인된 파트너 feed URL 연결,검색 결과·커뮤니티 원문·메인 페이지를 finalUrl로 쓰지 않기
5,mnuri-benefit,문화누리카드 공식 사용 혜택,public_coupon,정부/공공혜택 | 영화/문화,high,reachable,200,0,PUBLIC_COUPON_FEED_URLS,connect_official_feed,82,PUBLIC_COUPON_FEED_URLS에 공식 JSON/RSS 또는 승인된 파트너 feed URL 연결,검색 결과·커뮤니티 원문·메인 페이지를 finalUrl로 쓰지 않기
6,naverpay-benefit,네이버페이 공식 이벤트 혜택,official_event,카드/멤버십 | 무료혜택,high,guarded,200,0,OFFICIAL_EVENT_FEED_URLS | PUBLIC_COUPON_FEED_URLS,request_partner_or_api,82,보호 페이지를 자동 수집하지 말고 공식 API/RSS/제휴 담당자 승인 feed 요청,"무단 크롤링 금지, 브라우저 자동 수집 금지, 승인 feed만 허용"
7,ssg-event-main,SSG닷컴 공식 장보기 행사,official_event,식품/생필품 | 마트/편의점,high,reachable,200,0,OFFICIAL_EVENT_FEED_URLS | DEAL_EVENT_FEED_URLS,connect_official_feed,82,OFFICIAL_EVENT_FEED_URLS 또는 DEAL_EVENT_FEED_URLS에 공식 JSON/RSS 또는 승인된 파트너 feed URL 연결,검색 결과·커뮤니티 원문·메인 페이지를 finalUrl로 쓰지 않기
8,visitkorea-travel-week,한국관광공사 공식 여행 혜택,public_coupon,여행/숙박 | 정부/공공혜택 | 무료혜택,high,reachable,200,0,PUBLIC_COUPON_FEED_URLS | DEAL_NEWS_FEED_URLS,connect_official_feed,82,PUBLIC_COUPON_FEED_URLS 또는 DEAL_NEWS_FEED_URLS에 공식 JSON/RSS 또는 승인된 파트너 feed URL 연결,검색 결과·커뮤니티 원문·메인 페이지를 finalUrl로 쓰지 않기
9,yogiyo-event,요기요 배달 쿠폰 이벤트,event_news,외식/배달,high,reachable,200,0,DEAL_EVENT_NEWS_FEED_URLS | OFFICIAL_EVENT_FEED_URLS,connect_official_feed,82,DEAL_EVENT_NEWS_FEED_URLS 또는 OFFICIAL_EVENT_FEED_URLS에 공식 JSON/RSS 또는 승인된 파트너 feed URL 연결,검색 결과·커뮤니티 원문·메인 페이지를 finalUrl로 쓰지 않기
10,cjone-mobile-events,CJ ONE 공식 이벤트,official_event,카드/멤버십 | 외식/배달 | 영화/문화 | 무료혜택,medium,reachable,200,0,OFFICIAL_EVENT_FEED_URLS | PUBLIC_COUPON_FEED_URLS,connect_official_feed,79,OFFICIAL_EVENT_FEED_URLS 또는 PUBLIC_COUPON_FEED_URLS에 공식 JSON/RSS 또는 승인된 파트너 feed URL 연결,검색 결과·커뮤니티 원문·메인 페이지를 finalUrl로 쓰지 않기
11,bhc-ecoupon,BHC 공식 e쿠폰,official_event,외식/배달,medium,reachable,200,0,OFFICIAL_EVENT_FEED_URLS | DEAL_EVENT_FEED_URLS,connect_official_feed,75,OFFICIAL_EVENT_FEED_URLS 또는 DEAL_EVENT_FEED_URLS에 공식 JSON/RSS 또는 승인된 파트너 feed URL 연결,검색 결과·커뮤니티 원문·메인 페이지를 finalUrl로 쓰지 않기
12,himart-events,하이마트 공식 디지털 행사,official_event,디지털/가전,medium,reachable,200,0,OFFICIAL_EVENT_FEED_URLS | DEAL_EVENT_FEED_URLS,connect_official_feed,75,OFFICIAL_EVENT_FEED_URLS 또는 DEAL_EVENT_FEED_URLS에 공식 JSON/RSS 또는 승인된 파트너 feed URL 연결,검색 결과·커뮤니티 원문·메인 페이지를 finalUrl로 쓰지 않기
13,samsung-shop-event,삼성닷컴 공식 이벤트,official_event,디지털/가전,medium,reachable,200,0,OFFICIAL_EVENT_FEED_URLS | DEAL_EVENT_FEED_URLS,connect_official_feed,75,OFFICIAL_EVENT_FEED_URLS 또는 DEAL_EVENT_FEED_URLS에 공식 JSON/RSS 또는 승인된 파트너 feed URL 연결,검색 결과·커뮤니티 원문·메인 페이지를 finalUrl로 쓰지 않기
14,jejuair-events,제주항공 공식 진행 이벤트,official_event,여행/숙박,high,guarded,503,0,OFFICIAL_EVENT_FEED_URLS | DEAL_EVENT_NEWS_FEED_URLS,request_partner_or_api,74,보호 페이지를 자동 수집하지 말고 공식 API/RSS/제휴 담당자 승인 feed 요청,"무단 크롤링 금지, 브라우저 자동 수집 금지, 승인 feed만 허용"
