rank,id,mallName,category,title,purchaseUrl,imageField,imageSourceHint,sourcingPriority,priorityReason,imageSearchUrl,batchWeek,sourceSafetyLevel,imageReadyGate,requiredProviderFields,operatorChecklist,requestTemplate
1,d011,SSG닷컴,식품,프리미엄 한우 불고기 600g,https://www.ssg.com/item/itemView.ssg?itemId=1000377767271,imageUrl,판매처 상세 페이지 또는 공식 제휴 피드 대표 이미지,high,주간 보강 배치 상위 후보,https://search.shopping.naver.com/search/all?query=SSG%EB%8B%B7%EC%BB%B4%20%ED%94%84%EB%A6%AC%EB%AF%B8%EC%97%84%20%ED%95%9C%EC%9A%B0%20%EB%B6%88%EA%B3%A0%EA%B8%B0%20600g%20%EC%83%81%ED%92%88%20%EC%9D%B4%EB%AF%B8%EC%A7%80,1,official_or_partner_only,"productUrl, imageUrl/thumbnail, imageRights, priceCheckedAt 동시 확보",productUrl | imageUrl | thumbnail | imageRights | priceCheckedAt,판매처 또는 승인 제휴 피드 이미지 | 상품명과 옵션이 현재 노출 상품과 일치 | 검색 결과 썸네일/커뮤니티/블로그 이미지 사용 금지 | 가격 기준 시각과 이미지 갱신 시각 기록,"SSG닷컴 이미지 보강 요청: productUrl, imageUrl/thumbnail, imageRights, priceCheckedAt 필드를 공식/제휴 피드로 제공하고 검색 결과 썸네일은 제외"
2,d013,하이마트,가전,삼성 55형 4K UHD TV,https://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0026982316,imageUrl,판매처 상세 페이지 또는 공식 제휴 피드 대표 이미지,high,주간 보강 배치 상위 후보,https://search.shopping.naver.com/search/all?query=%ED%95%98%EC%9D%B4%EB%A7%88%ED%8A%B8%20%EC%82%BC%EC%84%B1%2055%ED%98%95%204K%20UHD%20TV%20%EC%83%81%ED%92%88%20%EC%9D%B4%EB%AF%B8%EC%A7%80,1,official_or_partner_only,"productUrl, imageUrl/thumbnail, imageRights, priceCheckedAt 동시 확보",productUrl | imageUrl | thumbnail | imageRights | priceCheckedAt,판매처 또는 승인 제휴 피드 이미지 | 상품명과 옵션이 현재 노출 상품과 일치 | 검색 결과 썸네일/커뮤니티/블로그 이미지 사용 금지 | 가격 기준 시각과 이미지 갱신 시각 기록,"하이마트 이미지 보강 요청: productUrl, imageUrl/thumbnail, imageRights, priceCheckedAt 필드를 공식/제휴 피드로 제공하고 검색 결과 썸네일은 제외"
3,d014,쿠팡,전자기기,애플워치 호환 스포츠 밴드,https://www.coupang.com/vp/products/7687552147,imageUrl,판매처 상세 페이지 또는 공식 제휴 피드 대표 이미지,high,주간 보강 배치 상위 후보,https://search.shopping.naver.com/search/all?query=%EC%BF%A0%ED%8C%A1%20%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98%20%ED%98%B8%ED%99%98%20%EC%8A%A4%ED%8F%AC%EC%B8%A0%20%EB%B0%B4%EB%93%9C%20%EC%83%81%ED%92%88%20%EC%9D%B4%EB%AF%B8%EC%A7%80,1,official_or_partner_only,"productUrl, imageUrl/thumbnail, imageRights, priceCheckedAt 동시 확보",productUrl | imageUrl | thumbnail | imageRights | priceCheckedAt,판매처 또는 승인 제휴 피드 이미지 | 상품명과 옵션이 현재 노출 상품과 일치 | 검색 결과 썸네일/커뮤니티/블로그 이미지 사용 금지 | 가격 기준 시각과 이미지 갱신 시각 기록,"쿠팡 이미지 보강 요청: productUrl, imageUrl/thumbnail, imageRights, priceCheckedAt 필드를 공식/제휴 피드로 제공하고 검색 결과 썸네일은 제외"
4,d019,오늘의집,생활용품,원목 수납장 3단,https://store.ohou.se/goods/1306932,imageUrl,판매처 상세 페이지 또는 공식 제휴 피드 대표 이미지,high,주간 보강 배치 상위 후보,https://search.shopping.naver.com/search/all?query=%EC%98%A4%EB%8A%98%EC%9D%98%EC%A7%91%20%EC%9B%90%EB%AA%A9%20%EC%88%98%EB%82%A9%EC%9E%A5%203%EB%8B%A8%20%EC%83%81%ED%92%88%20%EC%9D%B4%EB%AF%B8%EC%A7%80,1,official_or_partner_only,"productUrl, imageUrl/thumbnail, imageRights, priceCheckedAt 동시 확보",productUrl | imageUrl | thumbnail | imageRights | priceCheckedAt,판매처 또는 승인 제휴 피드 이미지 | 상품명과 옵션이 현재 노출 상품과 일치 | 검색 결과 썸네일/커뮤니티/블로그 이미지 사용 금지 | 가격 기준 시각과 이미지 갱신 시각 기록,"오늘의집 이미지 보강 요청: productUrl, imageUrl/thumbnail, imageRights, priceCheckedAt 필드를 공식/제휴 피드로 제공하고 검색 결과 썸네일은 제외"
5,d022,올리브영,뷰티,JMW BLDC 에어원 드라이어 MC4B03C,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000188040,imageUrl,판매처 상세 페이지 또는 공식 제휴 피드 대표 이미지,high,주간 보강 배치 상위 후보,https://search.shopping.naver.com/search/all?query=%EC%98%AC%EB%A6%AC%EB%B8%8C%EC%98%81%20JMW%20BLDC%20%EC%97%90%EC%96%B4%EC%9B%90%20%EB%93%9C%EB%9D%BC%EC%9D%B4%EC%96%B4%20MC4B03C%20%EC%83%81%ED%92%88%20%EC%9D%B4%EB%AF%B8%EC%A7%80,1,official_or_partner_only,"productUrl, imageUrl/thumbnail, imageRights, priceCheckedAt 동시 확보",productUrl | imageUrl | thumbnail | imageRights | priceCheckedAt,판매처 또는 승인 제휴 피드 이미지 | 상품명과 옵션이 현재 노출 상품과 일치 | 검색 결과 썸네일/커뮤니티/블로그 이미지 사용 금지 | 가격 기준 시각과 이미지 갱신 시각 기록,"올리브영 이미지 보강 요청: productUrl, imageUrl/thumbnail, imageRights, priceCheckedAt 필드를 공식/제휴 피드로 제공하고 검색 결과 썸네일은 제외"
6,d024,SSG닷컴,식품,프리미엄 생수 2L 24병,https://www.ssg.com/item/itemView.ssg?itemId=1000038330709,imageUrl,판매처 상세 페이지 또는 공식 제휴 피드 대표 이미지,high,주간 보강 배치 상위 후보,https://search.shopping.naver.com/search/all?query=SSG%EB%8B%B7%EC%BB%B4%20%ED%94%84%EB%A6%AC%EB%AF%B8%EC%97%84%20%EC%83%9D%EC%88%98%202L%2024%EB%B3%91%20%EC%83%81%ED%92%88%20%EC%9D%B4%EB%AF%B8%EC%A7%80,1,official_or_partner_only,"productUrl, imageUrl/thumbnail, imageRights, priceCheckedAt 동시 확보",productUrl | imageUrl | thumbnail | imageRights | priceCheckedAt,판매처 또는 승인 제휴 피드 이미지 | 상품명과 옵션이 현재 노출 상품과 일치 | 검색 결과 썸네일/커뮤니티/블로그 이미지 사용 금지 | 가격 기준 시각과 이미지 갱신 시각 기록,"SSG닷컴 이미지 보강 요청: productUrl, imageUrl/thumbnail, imageRights, priceCheckedAt 필드를 공식/제휴 피드로 제공하고 검색 결과 썸네일은 제외"
7,d025,올리브영,뷰티,선크림 1+1 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000163532,imageUrl,판매처 상세 페이지 또는 공식 제휴 피드 대표 이미지,high,주간 보강 배치 상위 후보,https://search.shopping.naver.com/search/all?query=%EC%98%AC%EB%A6%AC%EB%B8%8C%EC%98%81%20%EC%84%A0%ED%81%AC%EB%A6%BC%201%2B1%20%EA%B8%B0%ED%9A%8D%20%EC%83%81%ED%92%88%20%EC%9D%B4%EB%AF%B8%EC%A7%80,1,official_or_partner_only,"productUrl, imageUrl/thumbnail, imageRights, priceCheckedAt 동시 확보",productUrl | imageUrl | thumbnail | imageRights | priceCheckedAt,판매처 또는 승인 제휴 피드 이미지 | 상품명과 옵션이 현재 노출 상품과 일치 | 검색 결과 썸네일/커뮤니티/블로그 이미지 사용 금지 | 가격 기준 시각과 이미지 갱신 시각 기록,"올리브영 이미지 보강 요청: productUrl, imageUrl/thumbnail, imageRights, priceCheckedAt 필드를 공식/제휴 피드로 제공하고 검색 결과 썸네일은 제외"
8,d027,GS SHOP,육아,군 기저귀 프리미엄 밴드 대형 36P 4팩,https://m.gsshop.com/prd/prd.gs?prdid=1076815137&mseq=440582&rank=2&ispre=Y&kwd=24336,imageUrl,판매처 상세 페이지 또는 공식 제휴 피드 대표 이미지,high,주간 보강 배치 상위 후보,https://search.shopping.naver.com/search/all?query=GS%20SHOP%20%EA%B5%B0%20%EA%B8%B0%EC%A0%80%EA%B7%80%20%ED%94%84%EB%A6%AC%EB%AF%B8%EC%97%84%20%EB%B0%B4%EB%93%9C%20%EB%8C%80%ED%98%95%2036P%204%ED%8C%A9%20%EC%83%81%ED%92%88%20%EC%9D%B4%EB%AF%B8%EC%A7%80,1,official_or_partner_only,"productUrl, imageUrl/thumbnail, imageRights, priceCheckedAt 동시 확보",productUrl | imageUrl | thumbnail | imageRights | priceCheckedAt,판매처 또는 승인 제휴 피드 이미지 | 상품명과 옵션이 현재 노출 상품과 일치 | 검색 결과 썸네일/커뮤니티/블로그 이미지 사용 금지 | 가격 기준 시각과 이미지 갱신 시각 기록,"GS SHOP 이미지 보강 요청: productUrl, imageUrl/thumbnail, imageRights, priceCheckedAt 필드를 공식/제휴 피드로 제공하고 검색 결과 썸네일은 제외"
9,d028,쿠팡,생활용품,워터픽 나노 패밀리팩 구강세정기,https://www.coupang.com/vp/products/45447044?itemId=162348092&vendorItemId=3383614966,imageUrl,판매처 상세 페이지 또는 공식 제휴 피드 대표 이미지,high,주간 보강 배치 상위 후보,https://search.shopping.naver.com/search/all?query=%EC%BF%A0%ED%8C%A1%20%EC%9B%8C%ED%84%B0%ED%94%BD%20%EB%82%98%EB%85%B8%20%ED%8C%A8%EB%B0%80%EB%A6%AC%ED%8C%A9%20%EA%B5%AC%EA%B0%95%EC%84%B8%EC%A0%95%EA%B8%B0%20%EC%83%81%ED%92%88%20%EC%9D%B4%EB%AF%B8%EC%A7%80,1,official_or_partner_only,"productUrl, imageUrl/thumbnail, imageRights, priceCheckedAt 동시 확보",productUrl | imageUrl | thumbnail | imageRights | priceCheckedAt,판매처 또는 승인 제휴 피드 이미지 | 상품명과 옵션이 현재 노출 상품과 일치 | 검색 결과 썸네일/커뮤니티/블로그 이미지 사용 금지 | 가격 기준 시각과 이미지 갱신 시각 기록,"쿠팡 이미지 보강 요청: productUrl, imageUrl/thumbnail, imageRights, priceCheckedAt 필드를 공식/제휴 피드로 제공하고 검색 결과 썸네일은 제외"
10,d029,SSG닷컴,가전,422 올스텐 에어프라이어 7L 대용량,https://www.ssg.com/item/itemView.ssg?itemId=1000568480807,imageUrl,판매처 상세 페이지 또는 공식 제휴 피드 대표 이미지,high,주간 보강 배치 상위 후보,https://search.shopping.naver.com/search/all?query=SSG%EB%8B%B7%EC%BB%B4%20422%20%EC%98%AC%EC%8A%A4%ED%85%90%20%EC%97%90%EC%96%B4%ED%94%84%EB%9D%BC%EC%9D%B4%EC%96%B4%207L%20%EB%8C%80%EC%9A%A9%EB%9F%89%20%EC%83%81%ED%92%88%20%EC%9D%B4%EB%AF%B8%EC%A7%80,1,official_or_partner_only,"productUrl, imageUrl/thumbnail, imageRights, priceCheckedAt 동시 확보",productUrl | imageUrl | thumbnail | imageRights | priceCheckedAt,판매처 또는 승인 제휴 피드 이미지 | 상품명과 옵션이 현재 노출 상품과 일치 | 검색 결과 썸네일/커뮤니티/블로그 이미지 사용 금지 | 가격 기준 시각과 이미지 갱신 시각 기록,"SSG닷컴 이미지 보강 요청: productUrl, imageUrl/thumbnail, imageRights, priceCheckedAt 필드를 공식/제휴 피드로 제공하고 검색 결과 썸네일은 제외"
11,d030,쿠팡,전자기기,Apple 2025 아이패드 A16 11세대 128GB Wi-Fi,https://www.coupang.com/vp/products/8640169010,imageUrl,판매처 상세 페이지 또는 공식 제휴 피드 대표 이미지,high,주간 보강 배치 상위 후보,https://search.shopping.naver.com/search/all?query=%EC%BF%A0%ED%8C%A1%20Apple%202025%20%EC%95%84%EC%9D%B4%ED%8C%A8%EB%93%9C%20A16%2011%EC%84%B8%EB%8C%80%20128GB%20Wi-Fi%20%EC%83%81%ED%92%88%20%EC%9D%B4%EB%AF%B8%EC%A7%80,1,official_or_partner_only,"productUrl, imageUrl/thumbnail, imageRights, priceCheckedAt 동시 확보",productUrl | imageUrl | thumbnail | imageRights | priceCheckedAt,판매처 또는 승인 제휴 피드 이미지 | 상품명과 옵션이 현재 노출 상품과 일치 | 검색 결과 썸네일/커뮤니티/블로그 이미지 사용 금지 | 가격 기준 시각과 이미지 갱신 시각 기록,"쿠팡 이미지 보강 요청: productUrl, imageUrl/thumbnail, imageRights, priceCheckedAt 필드를 공식/제휴 피드로 제공하고 검색 결과 썸네일은 제외"
