section,id,label,provider,category,sourceType,priority,officialUrl,host,refreshCadenceHours,preferredEnvKeys,configuredFeedUrls,allowedUse,blockedUse,status,mode,modeLabel,visibleCount,issueCount,readinessRate,nextAction,operatorAction
source_catalog,gs25-event-goods,GS25 행사상품과 카드 할인,official_event,마트/편의점 | 무료혜택,official_event_page,high,https://gs25.gsretail.com/gscvs/ko/products/event-goods,gs25.gsretail.com,6,OFFICIAL_EVENT_FEED_URLS | DEAL_EVENT_FEED_URLS,0,GS25 공식 행사/1+1/2+1/카드 할인 혜택을 공식 상세 또는 승인 feed로만 노출,"커뮤니티 원문, 검색 결과, 비공식 캡처 이미지 단독 노출",,,,,,,OFFICIAL_EVENT_FEED_URLS 또는 DEAL_EVENT_FEED_URLS에 승인 feed URL 연결,
source_catalog,cu-plus-event,CU 편의점 1+1·2+1 행사,official_event,마트/편의점,official_event_page,high,https://cu.bgfretail.com/event/plus.do?category=event&depth2=1,cu.bgfretail.com,6,OFFICIAL_EVENT_FEED_URLS | DEAL_EVENT_FEED_URLS,0,CU 공식 행사 페이지의 상품 행사 정보,"비공식 블로그, 커뮤니티 캡처, 검색 결과",,,,,,,OFFICIAL_EVENT_FEED_URLS 또는 DEAL_EVENT_FEED_URLS에 승인 feed URL 연결,
source_catalog,ssg-event-main,SSG닷컴 공식 장보기 행사,official_event,식품/생필품 | 마트/편의점,official_event_page,high,https://www.ssg.com/event/eventMain.ssg,ssg.com,6,OFFICIAL_EVENT_FEED_URLS | DEAL_EVENT_FEED_URLS,0,SSG 공식 행사/쿠폰/장보기 이벤트,"검색 결과, 쇼핑몰 메인만 있는 링크",,,,,,,OFFICIAL_EVENT_FEED_URLS 또는 DEAL_EVENT_FEED_URLS에 승인 feed URL 연결,
source_catalog,emart-event-main,이마트몰 공식 행사,official_event,식품/생필품 | 마트/편의점,official_event_page,medium,https://emart.ssg.com/event/eventMain.ssg,emart.ssg.com,6,OFFICIAL_EVENT_FEED_URLS | DEAL_EVENT_FEED_URLS,0,이마트몰 공식 쿠폰/행사 페이지,"검색 결과, 비공식 최저가 글",,,,,,,OFFICIAL_EVENT_FEED_URLS 또는 DEAL_EVENT_FEED_URLS에 승인 feed URL 연결,
source_catalog,homeplus-event,홈플러스 공식 이벤트,official_event,식품/생필품 | 마트/편의점,official_event_page,medium,https://front.homeplus.co.kr/event,front.homeplus.co.kr,6,OFFICIAL_EVENT_FEED_URLS | DEAL_EVENT_FEED_URLS,0,홈플러스 공식 장보기 행사/쿠폰,"검색 결과, 커뮤니티 원문 단독 링크",,,,,,,OFFICIAL_EVENT_FEED_URLS 또는 DEAL_EVENT_FEED_URLS에 승인 feed URL 연결,
source_catalog,yogiyo-event,요기요 배달 쿠폰 이벤트,event_news,외식/배달,official_event_page,high,https://www.yogiyo.co.kr/mobile/#/event/,yogiyo.co.kr,6,DEAL_EVENT_NEWS_FEED_URLS | OFFICIAL_EVENT_FEED_URLS,0,요기요 공식 이벤트/쿠폰 페이지,"커뮤니티 할인코드 글, 블로그 캡처",,,,,,,DEAL_EVENT_NEWS_FEED_URLS 또는 OFFICIAL_EVENT_FEED_URLS에 승인 feed URL 연결,
source_catalog,bhc-ecoupon,BHC 공식 e쿠폰,official_event,외식/배달,official_purchase_page,medium,https://www.bhc.co.kr/eCoupon/purchase,bhc.co.kr,12,OFFICIAL_EVENT_FEED_URLS | DEAL_EVENT_FEED_URLS,0,BHC 공식 e쿠폰 구매 또는 이벤트 페이지,비공식 쿠폰 거래 글,,,,,,,OFFICIAL_EVENT_FEED_URLS 또는 DEAL_EVENT_FEED_URLS에 승인 feed URL 연결,
source_catalog,cgv-events,CGV 공식 문화 이벤트,public_coupon,영화/문화 | 무료혜택,official_event_page,medium,https://www.cgv.co.kr/culture-event/event/defaultNew.aspx,cgv.co.kr,12,PUBLIC_COUPON_FEED_URLS | OFFICIAL_EVENT_FEED_URLS,0,CGV 공식 이벤트/초대권/할인 혜택,뉴스 기사 원문만 있는 링크,,,,,,,PUBLIC_COUPON_FEED_URLS 또는 OFFICIAL_EVENT_FEED_URLS에 승인 feed URL 연결,
source_catalog,lottecinema-events,롯데시네마 공식 이벤트,public_coupon,영화/문화,official_event_page,medium,https://www.lottecinema.co.kr/NLCHS/Event,lottecinema.co.kr,12,PUBLIC_COUPON_FEED_URLS | OFFICIAL_EVENT_FEED_URLS,0,롯데시네마 공식 이벤트/할인/쿠폰,"블로그, 커뮤니티, 뉴스 원문 단독 링크",,,,,,,PUBLIC_COUPON_FEED_URLS 또는 OFFICIAL_EVENT_FEED_URLS에 승인 feed URL 연결,
source_catalog,culture-day,문화가 있는 날 공식 혜택,public_coupon,영화/문화 | 정부/공공혜택 | 무료혜택,public_official_page,high,https://www.culture.go.kr/wday/main/main.do,culture.go.kr,12,PUBLIC_COUPON_FEED_URLS | DEAL_NEWS_FEED_URLS,0,공식 문화 포털의 문화 할인/무료 프로그램,행사 소개 기사만 있는 링크,,,,,,,PUBLIC_COUPON_FEED_URLS 또는 DEAL_NEWS_FEED_URLS에 승인 feed URL 연결,
